question,answer,category
How much does the airport shuttle cost?,The airport shuttle service is available at $45 per trip. Book in advance by calling us or emailing stay@nestandco.com.,Amenities
Do you have a business center?,Yes we have a fully equipped business center and 5 modern conference rooms available for meetings and corporate events.,Business
How many conference rooms do you have?,We have 5 conference rooms of various sizes available for corporate meetings events and private gatherings.,Business
How do I make a reservation?,You can book directly through our website or by calling +1 800 555 NEST or emailing stay@nestandco.com.,Booking
How can I book a room?,To book a room you can visit our website call us at +1 800 555 NEST or send an email to stay@nestandco.com.,Booking
What is the cancellation policy?,We offer free cancellation up to 48 hours before your scheduled arrival. Cancellations made within 48 hours may incur charges.,Booking
Can I cancel my reservation?,Yes you can cancel free of charge up to 48 hours before arrival. Please contact us directly to process your cancellation.,Booking
Do you allow pets?,Yes we are pet friendly. Small pets are welcome with an additional fee of $30 per night. Please inform us when booking.,Policies
Is the hotel pet friendly?,Yes small pets are allowed at the hotel. There is an additional charge of $30 per night for pets. Please notify us in advance.,Policies
What is the pet fee?,The pet fee is $30 per night for small pets. Please inform us at the time of booking so we can prepare accordingly.,Policies
Do you offer special packages?,Yes we offer special packages including anniversary honeymoon and corporate packages. Contact us to customize your experience.,Packages
Do you have honeymoon packages?,Yes we offer a romantic honeymoon package. Contact our team at stay@nestandco.com or call us to get all the details and customize it for your stay.,Packages
Do you have corporate packages?,Yes we offer corporate packages for business travelers and groups. Contact us to learn more about rates and amenities included.,Packages
Is there an anniversary package?,Yes we have a special anniversary package to make your celebration unforgettable. Reach out to our team for customization options.,Packages
What amenities are available?,We offer a rooftop pool spa and wellness center fitness center restaurant Bloom room service WiFi valet parking airport shuttle and business center.,Amenities
What is included in my stay?,All stays include complimentary WiFi access to the fitness center and use of common areas. Room service and other amenities may have additional charges.,General
Do you have a concierge service?,Yes our concierge team is available 24 hours a day to assist with reservations recommendations local attractions and any special requests.,General
How do I get from the airport to the hotel?,We offer a convenient airport shuttle service for $45 per trip. You can also take a taxi or rideshare. The hotel is approximately 30 minutes from the main airport.,General
