question,answer,category,clean_question
Do you have rooms with a balcony?,Yes the Studio Suite at $320 per night includes a private balcony along with a living area and king-sized bed.,Rooms,do you have rooms with a balcony
Do you have a restaurant?,Yes we have our farm-to-table restaurant called Bloom open daily from 7 AM to 11 PM serving breakfast lunch and dinner.,Dining,do you have a restaurant
What is the restaurant name?,Our restaurant is called Bloom. It serves farm-to-table cuisine and is open from 7 AM to 11 PM every day.,Dining,what is the restaurant name
What are the restaurant hours?,Our restaurant Bloom is open daily from 7:00 AM to 11:00 PM serving breakfast lunch and dinner.,Dining,what are the restaurant hours
Do you serve breakfast?,Yes Bloom our in-house restaurant serves breakfast daily from 7:00 AM. We offer a farm-to-table menu with fresh local ingredients.,Dining,do you serve breakfast
Is room service available?,Yes room service is available 24 hours a day 7 days a week. You can order from our menu at any time by calling the front desk.,Dining,is room service available
What time does room service close?,Room service is available around the clock 24 hours a day so you can order food at any time during your stay.,Dining,what time does room service close
Do you have a pool?,Yes we have a stunning rooftop infinity pool with panoramic city views open daily from 6:00 AM to 10:00 PM.,Amenities,do you have a pool
What are the pool hours?,Our rooftop infinity pool is open every day from 6:00 AM to 10:00 PM.,Amenities,what are the pool hours
Do you have a spa?,Yes we have a full spa and wellness center open from 8:00 AM to 9:00 PM offering massages facials sauna and wellness treatments.,Amenities,do you have a spa
What services does the spa offer?,Our spa offers a wide range of services including full body massages facial treatments sauna steam room and wellness packages.,Amenities,what services does the spa offer
What are the spa hours?,The spa and wellness center is open daily from 8:00 AM to 9:00 PM.,Amenities,what are the spa hours
Do you have a gym or fitness center?,Yes we have a fully equipped fitness center available to all guests 24 hours a day at no additional charge.,Amenities,do you have a gym or fitness center
Is the gym open 24 hours?,Yes the fitness center is open 24 hours a day 7 days a week and is complimentary for all hotel guests.,Amenities,is the gym open  hours
Is WiFi available?,Yes complimentary high-speed WiFi is available throughout the entire hotel including all guest rooms lobby restaurant and outdoor areas.,Amenities,is wifi available
Is WiFi free?,Yes WiFi is completely free for all guests and available in all areas of the hotel including rooms and common spaces.,Amenities,is wifi free
Do you have parking?,Yes we offer valet parking at $25 per night. Please inform us in advance if you require parking.,Amenities,do you have parking
What is the parking fee?,Valet parking is available at $25 per night. Please let the front desk know upon arrival.,Amenities,what is the parking fee
Do you offer airport transfers?,Yes we offer airport shuttle service at $45 per trip. Please contact us in advance to schedule your pickup or drop-off.,Amenities,do you offer airport transfers
How much does the airport shuttle cost?,The airport shuttle service is available at $45 per trip. Book in advance by calling us or emailing stay@nestandco.com.,Amenities,how much does the airport shuttle cost
Do you have a business center?,Yes we have a fully equipped business center and 5 modern conference rooms available for meetings and corporate events.,Business,do you have a business center
How many conference rooms do you have?,We have 5 conference rooms of various sizes available for corporate meetings events and private gatherings.,Business,how many conference rooms do you have
How do I make a reservation?,You can book directly through our website or by calling +1 800 555 NEST or emailing stay@nestandco.com.,Booking,how do i make a reservation
How can I book a room?,To book a room you can visit our website call us at +1 800 555 NEST or send an email to stay@nestandco.com.,Booking,how can i book a room
What is the cancellation policy?,We offer free cancellation up to 48 hours before your scheduled arrival. Cancellations made within 48 hours may incur charges.,Booking,what is the cancellation policy
Can I cancel my reservation?,Yes you can cancel free of charge up to 48 hours before arrival. Please contact us directly to process your cancellation.,Booking,can i cancel my reservation
Do you allow pets?,Yes we are pet friendly. Small pets are welcome with an additional fee of $30 per night. Please inform us when booking.,Policies,do you allow pets
Is the hotel pet friendly?,Yes small pets are allowed at the hotel. There is an additional charge of $30 per night for pets. Please notify us in advance.,Policies,is the hotel pet friendly
What is the pet fee?,The pet fee is $30 per night for small pets. Please inform us at the time of booking so we can prepare accordingly.,Policies,what is the pet fee
Do you offer special packages?,Yes we offer special packages including anniversary honeymoon and corporate packages. Contact us to customize your experience.,Packages,do you offer special packages
Do you have honeymoon packages?,Yes we offer a romantic honeymoon package. Contact our team at stay@nestandco.com or call us to get all the details and customize it for your stay.,Packages,do you have honeymoon packages
Do you have corporate packages?,Yes we offer corporate packages for business travelers and groups. Contact us to learn more about rates and amenities included.,Packages,do you have corporate packages
Is there an anniversary package?,Yes we have a special anniversary package to make your celebration unforgettable. Reach out to our team for customization options.,Packages,is there an anniversary package
What amenities are available?,We offer a rooftop pool spa and wellness center fitness center restaurant Bloom room service WiFi valet parking airport shuttle and business center.,Amenities,what amenities are available
What is included in my stay?,All stays include complimentary WiFi access to the fitness center and use of common areas. Room service and other amenities may have additional charges.,General,what is included in my stay
Do you have a concierge service?,Yes our concierge team is available 24 hours a day to assist with reservations recommendations local attractions and any special requests.,General,do you have a concierge service
How do I get from the airport to the hotel?,We offer a convenient airport shuttle service for $45 per trip. You can also take a taxi or rideshare. The hotel is approximately 30 minutes from the main airport.,General,how do i get from the airport to the hotel
